,radius_mean,texture_mean
201,17.54,19.32
202,23.29,26.67
203,13.81,23.75
204,12.47,18.6
205,15.12,16.68
206,9.876,17.27
207,17.01,20.26
208,13.11,22.54
209,15.27,12.91
210,20.58,22.14
211,11.84,18.94
212,28.11,18.47
213,17.42,25.56
214,14.19,23.81
215,13.86,16.93
216,11.89,18.35
217,10.2,17.48
218,19.8,21.56
219,19.53,32.47
220,13.65,13.16
221,13.56,13.9
222,10.18,17.53
223,15.75,20.25
224,13.27,17.02
225,14.34,13.47
226,10.44,15.46
227,15.0,15.51
228,12.62,23.97
229,12.83,22.33
230,17.05,19.08
231,11.32,27.08
232,11.22,33.81
233,20.51,27.81
234,9.567,15.91
235,14.03,21.25
236,23.21,26.97
237,20.48,21.46
238,14.22,27.85
239,17.46,39.28
240,13.64,15.6
241,12.42,15.04
242,11.3,18.19
243,13.75,23.77
244,19.4,23.5
245,10.48,19.86
246,13.2,17.43
247,12.89,14.11
248,10.65,25.22
249,11.52,14.93
250,20.94,23.56
251,11.5,18.45
252,19.73,19.82
253,17.3,17.08
254,19.45,19.33
255,13.96,17.05
256,19.55,28.77
257,15.32,17.27
258,15.66,23.2
259,15.53,33.56
260,20.31,27.06
261,17.35,23.06
262,17.29,22.13
263,15.61,19.38
264,17.19,22.07
265,20.73,31.12
266,10.6,18.95
267,13.59,21.84
268,12.87,16.21
269,10.71,20.39
270,14.29,16.82
271,11.29,13.04
272,21.75,20.99
273,9.742,15.67
274,17.93,24.48
275,11.89,17.36
276,11.33,14.16
277,18.81,19.98
278,13.59,17.84
279,13.85,15.18
280,19.16,26.6
281,11.74,14.02
282,19.4,18.18
283,16.24,18.77
284,12.89,15.7
285,12.58,18.4
286,11.94,20.76
287,12.89,13.12
288,11.26,19.96
289,11.37,18.89
290,14.41,19.73
291,14.96,19.1
292,12.95,16.02
293,11.85,17.46
294,12.72,13.78
295,13.77,13.27
296,10.91,12.35
297,11.76,18.14
298,14.26,18.17
299,10.51,23.09
300,19.53,18.9
301,12.46,19.89
302,20.09,23.86
303,10.49,18.61
304,11.46,18.16
305,11.6,24.49
306,13.2,15.82
307,9.0,14.4
308,13.5,12.71
309,13.05,13.84
310,11.7,19.11
311,14.61,15.69
312,12.76,13.37
313,11.54,10.72
314,8.597,18.6
315,12.49,16.85
316,12.18,14.08
317,18.22,18.87
318,9.042,18.9
319,12.43,17.0
320,10.25,16.18
321,20.16,19.66
322,12.86,13.32
323,20.34,21.51
324,12.2,15.21
325,12.67,17.3
326,14.11,12.88
327,12.03,17.93
328,16.27,20.71
329,16.26,21.88
330,16.03,15.51
331,12.98,19.35
332,11.22,19.86
333,11.25,14.78
334,12.3,19.02
335,17.06,21.0
336,12.99,14.23
337,18.77,21.43
338,10.05,17.53
339,23.51,24.27
340,14.42,16.54
341,9.606,16.84
342,11.06,14.96
343,19.68,21.68
344,11.71,15.45
345,10.26,14.71
346,12.06,18.9
347,14.76,14.74
348,11.47,16.03
349,11.95,14.96
350,11.66,17.07
351,15.75,19.22
352,25.73,17.46
353,15.08,25.74
354,11.14,14.07
355,12.56,19.07
356,13.05,18.59
357,13.87,16.21
358,8.878,15.49
359,9.436,18.32
360,12.54,18.07
361,13.3,21.57
362,12.76,18.84
363,16.5,18.29
364,13.4,16.95
365,20.44,21.78
366,20.2,26.83
367,12.21,18.02
368,21.71,17.25
369,22.01,21.9
370,16.35,23.29
371,15.19,13.21
372,21.37,15.1
373,20.64,17.35
374,13.69,16.07
375,16.17,16.07
376,10.57,20.22
377,13.46,28.21
378,13.66,15.15
379,11.08,18.83
380,11.27,12.96
381,11.04,14.93
382,12.05,22.72
383,12.39,17.48
384,13.28,13.72
385,14.6,23.29
386,12.21,14.09
387,13.88,16.16
388,11.27,15.5
389,19.55,23.21
390,10.26,12.22
391,8.734,16.84
392,15.49,19.97
393,21.61,22.28
394,12.1,17.72
395,14.06,17.18
396,13.51,18.89
397,12.8,17.46
398,11.06,14.83
399,11.8,17.26
400,17.91,21.02
401,11.93,10.91
402,12.96,18.29
403,12.94,16.17
404,12.34,14.95
405,10.94,18.59
406,16.14,14.86
407,12.85,21.37
408,17.99,20.66
409,12.27,17.92
410,11.36,17.57
411,11.04,16.83
412,9.397,21.68
413,14.99,22.11
414,15.13,29.81
415,11.89,21.17
416,9.405,21.7
417,15.5,21.08
418,12.7,12.17
419,11.16,21.41
420,11.57,19.04
421,14.69,13.98
422,11.61,16.02
423,13.66,19.13
424,9.742,19.12
425,10.03,21.28
426,10.48,14.98
427,10.8,21.98
428,11.13,16.62
429,12.72,17.67
430,14.9,22.53
431,12.4,17.68
432,20.18,19.54
433,18.82,21.97
434,14.86,16.94
435,13.98,19.62
436,12.87,19.54
437,14.04,15.98
438,13.85,19.6
439,14.02,15.66
440,10.97,17.2
441,17.27,25.42
442,13.78,15.79
443,10.57,18.32
444,18.03,16.85
445,11.99,24.89
446,17.75,28.03
447,14.8,17.66
448,14.53,19.34
449,21.1,20.52
450,11.87,21.54
451,19.59,25.0
452,12.0,28.23
453,14.53,13.98
454,12.62,17.15
455,13.38,30.72
456,11.63,29.29
457,13.21,25.25
458,13.0,25.13
459,9.755,28.2
460,17.08,27.15
461,27.42,26.27
462,14.4,26.99
463,11.6,18.36
464,13.17,18.22
465,13.24,20.13
466,13.14,20.74
467,9.668,18.1
468,17.6,23.33
469,11.62,18.18
470,9.667,18.49
471,12.04,28.14
472,14.92,14.93
473,12.27,29.97
474,10.88,15.62
475,12.83,15.73
476,14.2,20.53
477,13.9,16.62
478,11.49,14.59
479,16.25,19.51
480,12.16,18.03
481,13.9,19.24
482,13.47,14.06
483,13.7,17.64
484,15.73,11.28
485,12.45,16.41
486,14.64,16.85
487,19.44,18.82
488,11.68,16.17
489,16.69,20.2
490,12.25,22.44
491,17.85,13.23
492,18.01,20.56
493,12.46,12.83
494,13.16,20.54
495,14.87,20.21
496,12.65,18.17
497,12.47,17.31
498,18.49,17.52
499,20.59,21.24
500,15.04,16.74
501,13.82,24.49
502,12.54,16.32
503,23.09,19.83
504,9.268,12.87
505,9.676,13.14
506,12.22,20.04
507,11.06,17.12
508,16.3,15.7
509,15.46,23.95
510,11.74,14.69
511,14.81,14.7
512,13.4,20.52
513,14.58,13.66
514,15.05,19.07
515,11.34,18.61
516,18.31,20.58
517,19.89,20.26
518,12.88,18.22
519,12.75,16.7
520,9.295,13.9
521,24.63,21.6
522,11.26,19.83
523,13.71,18.68
524,9.847,15.68
525,8.571,13.1
526,13.46,18.75
527,12.34,12.27
528,13.94,13.17
529,12.07,13.44
530,11.75,17.56
531,11.67,20.02
532,13.68,16.33
533,20.47,20.67
534,10.96,17.62
535,20.55,20.86
536,14.27,22.55
537,11.69,24.44
538,7.729,25.49
539,7.691,25.44
540,11.54,14.44
541,14.47,24.99
542,14.74,25.42
543,13.21,28.06
544,13.87,20.7
545,13.62,23.23
546,10.32,16.35
547,10.26,16.58
548,9.683,19.34
549,10.82,24.21
550,10.86,21.48
551,11.13,22.44
552,12.77,29.43
553,9.333,21.94
554,12.88,28.92
555,10.29,27.61
556,10.16,19.59
557,9.423,27.88
558,14.59,22.68
559,11.51,23.93
560,14.05,27.15
561,11.2,29.37
562,15.22,30.62
563,20.92,25.09
564,21.56,22.39
565,20.13,28.25
566,16.6,28.08
567,20.6,29.33
568,7.76,24.54
